2Theta_deg,Intensity_cps
5.0,171.06
5.01072,0.0
5.02143,171.32
5.03215,0.0
5.04286,171.65
5.05358,0.0
5.06429,171.55
5.07501,0.0
5.08573,171.46
5.09644,0.0
5.10716,171.52
5.11787,0.0
5.12859,171.55
5.13931,0.0
5.15002,171.46
5.16074,0.0
5.17145,171.42
5.18217,0.0
5.19288,171.34
5.2036,0.0
5.21432,171.34
5.22503,0.0
5.23575,171.16
5.24646,0.0
5.25718,171.14
5.2679,0.0
5.27861,171.53
5.28933,0.0
5.30004,171.61
5.31076,0.0
5.32147,171.57
5.33219,0.0
5.34291,171.44
5.35362,0.0
5.36434,171.14
5.37505,0.0
5.38577,171.5
5.39649,0.0
5.4072,171.55
5.41792,0.0
5.42863,171.6
5.43935,0.0
5.45006,171.52
5.46078,0.0
5.4715,171.44
5.48221,0.0
5.49293,171.38
5.50364,0.0
5.51436,171.53
5.52508,0.0
5.53579,171.64
5.54651,0.0
5.55722,171.59
5.56794,0.0
5.57865,171.46
5.58937,0.0
5.60009,171.53
5.6108,0.0
5.62152,171.52
5.63223,0.0
5.64295,171.36
5.65366,0.0
5.66438,171.36
5.6751,0.0
5.68581,171.36
5.69653,0.0
5.70724,171.32
5.71796,0.0
5.72868,171.18
5.73939,0.0
5.75011,171.36
5.76082,0.0
5.77154,171.38
5.78225,0.0
5.79297,171.63
5.80369,0.0
5.8144,171.5
5.82512,0.0
5.83583,171.34
5.84655,0.0
5.85727,171.28
5.86798,0.0
5.8787,171.16
5.88941,0.0
5.90013,171.3
5.91084,0.0
5.92156,171.38
5.93228,0.0
5.94299,171.24
5.95371,0.0
5.96442,171.38
5.97514,0.0
5.98586,171.38
5.99657,0.0
6.00729,171.64
6.018,0.0
6.02872,171.6
6.03943,0.0
6.05015,171.57
6.06087,0.0
6.07158,171.59
6.0823,0.0
6.09301,171.54
6.10373,0.0
6.11444,171.57
6.12516,0.0
6.13588,171.53
6.14659,0.0
6.15731,171.22
6.16802,0.0
6.17874,171.42
6.18946,0.0
6.20017,171.3
6.21089,0.0
6.2216,171.53
6.23232,0.0
6.24303,171.46
6.25375,0.0
6.26447,171.53
6.27518,0.0
6.2859,171.68
6.29661,0.0
6.30733,171.69
6.31805,0.0
6.32876,171.53
6.33948,0.0
6.35019,171.5
6.36091,0.0
6.37162,171.55
6.38234,0.0
6.39306,171.6
6.40377,0.0
6.41449,171.48
6.4252,0.0
6.43592,171.6
6.44664,0.0
6.45735,171.74
6.46807,0.0
6.47878,171.63
6.4895,0.0
6.50021,171.67
6.51093,0.0
6.52165,171.6
6.53236,0.0
6.54308,171.16
6.55379,0.0
6.56451,171.58
6.57523,0.0
6.58594,171.54
6.59666,0.0
6.60737,171.14
6.61809,0.0
6.6288,171.34
6.63952,0.0
6.65024,171.48
6.66095,0.0
6.67167,171.36
6.68238,0.0
6.6931,171.61
6.70381,0.0
6.71453,171.69
6.72525,0.0
6.73596,171.36
6.74668,0.0
6.75739,171.24
6.76811,0.0
6.77883,171.59
6.78954,0.0
6.80026,171.6
6.81097,0.0
6.82169,171.55
6.8324,0.0
6.84312,171.2
6.85384,0.0
6.86455,171.44
6.87527,0.0
6.88598,171.59
6.8967,0.0
6.90742,171.5
6.91813,0.0
6.92885,171.53
6.93956,0.0
6.95028,171.46
6.96099,0.0
6.97171,171.52
6.98243,0.0
6.99314,171.44
7.00386,0.0
7.01457,171.32
7.02529,0.0
7.03601,171.62
7.04672,0.0
7.05744,171.56
7.06815,0.0
7.07887,171.6
7.08958,0.0
7.1003,171.54
7.11102,0.0
7.12173,171.52
7.13245,0.0
7.14316,171.57
7.15388,0.0
7.16459,171.46
7.17531,0.0
7.18603,171.34
7.19674,0.0
7.20746,171.48
7.21817,0.0
7.22889,171.38
7.23961,0.0
