2Theta_deg,Intensity_cps
5.0,0.0
5.01072,0.0
5.02143,0.0
5.03215,0.0
5.04286,0.0
5.05358,0.0
5.06429,0.0
5.07501,0.0
5.08573,0.0
5.09644,0.0
5.10716,0.0
5.11787,0.0
5.12859,0.0
5.13931,0.0
5.15002,0.0
5.16074,0.0
5.17145,0.0
5.18217,0.0
5.19288,0.0
5.2036,0.0
5.21432,0.0
5.22503,0.0
5.23575,0.0
5.24646,0.0
5.25718,0.0
5.2679,0.0
5.27861,0.0
5.28933,0.0
5.30004,0.0
5.31076,0.0
5.32147,0.0
5.33219,0.0
5.34291,0.0
5.35362,0.0
5.36434,0.0
5.37505,0.0
5.38577,0.0
5.39649,0.0
5.4072,0.0
5.41792,0.0
5.42863,0.0
5.43935,0.0
5.45006,0.0
5.46078,0.0
5.4715,0.0
5.48221,0.0
5.49293,0.0
5.50364,0.0
5.51436,0.0
5.52508,0.0
5.53579,0.0
5.54651,0.0
5.55722,0.0
5.56794,0.0
5.57865,0.0
5.58937,0.0
5.60009,0.0
5.6108,0.0
5.62152,0.0
5.63223,0.0
5.64295,0.0
5.65366,0.0
5.66438,0.0
5.6751,0.0
5.68581,0.0
5.69653,0.0
5.70724,0.0
5.71796,0.0
5.72868,0.0
5.73939,0.0
5.75011,0.0
5.76082,0.0
5.77154,0.0
5.78225,0.0
5.79297,0.0
5.80369,0.0
5.8144,0.0
5.82512,0.0
5.83583,0.0
5.84655,0.0
5.85727,0.0
5.86798,0.0
5.8787,0.0
5.88941,0.0
5.90013,0.0
5.91084,0.0
5.92156,0.0
5.93228,0.0
5.94299,0.0
5.95371,0.0
5.96442,0.0
5.97514,0.0
5.98586,0.0
5.99657,0.0
6.00729,0.0
6.018,0.0
6.02872,0.0
6.03943,0.0
6.05015,0.0
6.06087,0.0
6.07158,0.0
6.0823,0.0
6.09301,0.0
6.10373,0.0
6.11444,0.0
6.12516,0.0
6.13588,0.0
6.14659,0.0
6.15731,0.0
6.16802,0.0
6.17874,0.0
6.18946,0.0
6.20017,0.0
6.21089,0.0
6.2216,0.0
6.23232,0.0
6.24303,0.0
6.25375,0.0
6.26447,0.0
6.27518,0.0
6.2859,0.0
6.29661,0.0
6.30733,0.0
6.31805,0.0
6.32876,0.0
6.33948,0.0
6.35019,0.0
6.36091,0.0
6.37162,0.0
6.38234,0.0
6.39306,0.0
6.40377,0.0
6.41449,0.0
6.4252,0.0
6.43592,0.0
6.44664,0.0
6.45735,0.0
6.46807,0.0
6.47878,0.0
6.4895,0.0
6.50021,0.0
6.51093,0.0
6.52165,0.0
6.53236,0.0
6.54308,0.0
6.55379,0.0
6.56451,0.0
6.57523,0.0
6.58594,0.0
6.59666,0.0
6.60737,0.0
6.61809,0.0
6.6288,0.0
6.63952,0.0
6.65024,0.0
6.66095,0.0
6.67167,0.0
6.68238,0.0
6.6931,0.0
6.70381,0.0
6.71453,0.0
6.72525,0.0
6.73596,0.0
6.74668,0.0
6.75739,0.0
6.76811,0.0
6.77883,0.0
6.78954,0.0
6.80026,0.0
