Peak_No,2Theta_deg,Intensity_cps
1,35.2036,327.68
2,35.2464,327.68
3,35.2893,327.68
4,35.3536,327.68
5,35.3964,327.68
6,35.4179,327.68
7,35.4393,327.68
8,35.5464,327.68
9,35.5679,327.68
10,35.5893,327.68
11,37.8822,327.68
12,37.925,491.52
13,37.9464,327.68
14,38.1179,409.6
15,38.1393,491.52
16,38.2036,368.64
17,38.225,491.52
18,38.2464,327.68
19,38.375,491.52
20,38.4607,327.68
21,40.5179,327.68
22,40.5393,327.68
23,40.5607,327.68
24,40.625,491.52
25,40.6679,491.52
26,40.7107,327.68
27,40.7322,491.52
28,40.775,327.68
29,40.7964,327.68
30,40.8607,327.68
31,40.8822,327.68
32,40.9036,327.68
33,40.925,327.68
34,40.9464,327.68
35,50.6964,327.68
36,50.7607,491.52
37,50.8036,327.68
38,50.825,491.52
39,50.8464,491.52
40,50.9536,327.68
41,54.3607,327.68
42,54.4679,327.68
43,54.5536,491.52
44,54.575,327.68
45,54.5964,409.6
46,54.725,409.6
47,54.7679,327.68
48,54.7893,573.44
49,54.8107,409.6
50,54.8536,327.68
51,54.8964,327.68
52,54.9179,327.68
53,54.9607,491.52
54,55.0036,327.68
55,55.0464,327.68
56,55.0679,327.68
57,59.7822,327.68
58,59.825,327.68
59,59.8465,491.52
60,59.8893,491.52
61,59.9107,491.52
62,59.9322,491.52
63,60.0179,327.68
64,60.0393,327.68
65,60.0607,491.52
66,60.1465,491.52
67,60.1893,491.52
68,60.275,327.68
69,60.3393,327.68
70,66.3179,327.68
71,66.3393,327.68
72,66.425,327.68
73,66.4465,327.68
74,66.4679,327.68
75,66.4893,327.68
76,66.5322,327.68
77,66.5536,327.68
78,66.575,327.68
79,66.6607,327.68
80,70.9679,327.68
81,70.9893,327.68
82,71.0107,327.68
83,71.0322,491.52
84,71.0536,491.52
85,71.0965,327.68
86,71.1393,491.52
87,71.1607,491.52
88,71.2036,491.52
89,71.225,491.52
90,71.2465,491.52
91,71.3107,327.68
92,71.4179,327.68
93,71.4607,327.68
94,87.8536,327.68
95,87.8965,327.68
96,87.9607,327.68
97,87.9822,327.68
98,89.4179,327.68
99,89.5036,327.68
100,89.5679,327.68
101,89.5893,327.68
102,89.6536,327.68
103,89.7179,327.68
104,89.7607,327.68
105,89.7822,327.68
106,89.8036,327.68
107,89.825,327.68
108,89.8465,327.68
109,89.8679,327.68
110,89.8893,327.68
111,89.9107,327.68
112,89.9322,327.68
113,89.975,327.68
114,99.3179,327.68
115,99.3393,327.68
116,99.3822,327.68
117,99.425,327.68
118,99.4465,327.68
119,99.4679,327.68
120,99.5108,491.52
121,99.5536,327.68
122,99.575,327.68
123,99.6608,327.68
124,99.6822,327.68
125,99.7679,327.68
126,99.7893,327.68
127,99.8108,327.68
128,99.8322,327.68
129,99.8536,327.68
130,99.875,327.68
131,99.9179,327.68
132,99.9393,327.68
133,102.9822,327.68
134,103.0036,327.68
135,103.0465,327.68
136,103.0679,327.68
137,117.2965,327.68
138,117.3179,327.68
139,117.3822,327.68
140,117.425,327.68
141,117.4465,327.68
142,117.4679,327.68
143,117.5322,327.68
144,117.5536,327.68
145,117.575,327.68
146,120.6608,327.68
147,120.6822,327.68
148,120.7036,327.68
149,120.725,327.68
150,120.7679,327.68
151,120.8322,327.68
152,120.8965,327.68
153,120.9179,327.68
154,120.9393,327.68
155,120.9608,327.68
156,120.9822,327.68
157,121.0036,327.68
