2Theta_deg,Intensity_cps
5.0,171.06
5.01072,171.32
5.02143,171.65
5.03215,171.55
5.04286,171.46
5.05358,171.52
5.06429,171.55
5.07501,171.46
5.08573,171.42
5.09644,171.34
5.10716,171.34
5.11787,171.16
5.12859,171.14
5.13931,171.53
5.15002,171.61
5.16074,171.57
5.17145,171.44
5.18217,171.14
5.19288,171.5
5.2036,171.55
5.21432,171.6
5.22503,171.52
5.23575,171.44
5.24646,171.38
5.25718,171.53
5.2679,171.64
5.27861,171.59
5.28933,171.46
5.30004,171.53
5.31076,171.52
5.32147,171.36
5.33219,171.36
5.34291,171.36
5.35362,171.32
5.36434,171.18
5.37505,171.36
5.38577,171.38
5.39649,171.63
5.4072,171.5
5.41792,171.34
5.42863,171.28
5.43935,171.16
5.45006,171.3
5.46078,171.38
5.4715,171.24
5.48221,171.38
5.49293,171.38
5.50364,171.64
5.51436,171.6
5.52508,171.57
5.53579,171.59
5.54651,171.54
5.55722,171.57
5.56794,171.53
5.57865,171.22
5.58937,171.42
5.60009,171.3
5.6108,171.53
5.62152,171.46
5.63223,171.53
5.64295,171.68
5.65366,171.69
5.66438,171.53
5.6751,171.5
5.68581,171.55
5.69653,171.6
5.70724,171.48
5.71796,171.6
5.72868,171.74
5.73939,171.63
5.75011,171.67
5.76082,171.6
5.77154,171.16
5.78225,171.58
5.79297,171.54
5.80369,171.14
5.8144,171.34
5.82512,171.48
5.83583,171.36
5.84655,171.61
5.85727,171.69
5.86798,171.36
5.8787,171.24
5.88941,171.59
5.90013,171.6
5.91084,171.55
5.92156,171.2
5.93228,171.44
5.94299,171.59
5.95371,171.5
5.96442,171.53
5.97514,171.46
5.98586,171.52
5.99657,171.44
6.00729,171.32
6.018,171.62
6.02872,171.56
6.03943,171.6
6.05015,171.54
6.06087,171.52
6.07158,171.57
6.0823,171.46
6.09301,171.34
6.10373,171.48
6.11444,171.38
6.12516,171.44
6.13588,171.57
6.14659,171.54
6.15731,171.52
6.16802,171.61
6.17874,171.52
6.18946,171.36
6.20017,171.36
6.21089,171.56
6.2216,171.36
6.23232,171.48
6.24303,171.62
6.25375,171.59
6.26447,171.57
6.27518,171.36
6.2859,171.18
6.29661,171.26
6.30733,171.68
6.31805,171.61
6.32876,171.67
6.33948,171.52
6.35019,171.5
6.36091,171.6
6.37162,171.57
6.38234,171.52
6.39306,171.54
6.40377,171.36
6.41449,171.56
6.4252,171.64
6.43592,171.61
6.44664,171.46
6.45735,171.48
6.46807,171.54
6.47878,171.42
6.4895,171.62
6.50021,171.55
6.51093,171.62
6.52165,171.52
6.53236,171.48
6.54308,171.0
6.55379,171.24
6.56451,171.28
6.57523,171.56
6.58594,171.4
6.59666,171.36
6.60737,171.44
6.61809,171.4
6.6288,171.4
6.63952,171.62
6.65024,171.66
6.66095,171.7
6.67167,171.66
6.68238,171.54
6.6931,171.3
6.70381,171.28
6.71453,171.5
6.72525,171.36
6.73596,171.59
6.74668,171.28
6.75739,171.14
6.76811,171.5
6.77883,171.3
6.78954,171.5
6.80026,171.59
6.81097,171.62
6.82169,171.64
6.8324,171.5
6.84312,171.32
6.85384,171.44
6.86455,171.5
6.87527,171.36
6.88598,171.57
6.8967,171.57
6.90742,171.56
6.91813,171.44
6.92885,171.38
6.93956,171.42
6.95028,171.53
6.96099,171.58
6.97171,171.44
6.98243,171.22
6.99314,171.32
7.00386,171.46
7.01457,171.54
7.02529,171.62
7.03601,171.59
7.04672,171.44
7.05744,171.52
7.06815,171.57
7.07887,171.34
7.08958,171.42
7.1003,171.4
7.11102,171.16
7.12173,171.32
7.13245,171.42
7.14316,171.26
7.15388,171.0
7.16459,171.32
7.17531,171.67
7.18603,171.61
7.19674,171.56
7.20746,171.46
7.21817,171.6
7.22889,171.65
7.23961,171.55
7.25032,171.36
7.26104,171.54
7.27175,171.6
7.28247,171.59
7.29318,171.52
7.3039,171.28
7.31462,171.16
7.32533,171.44
7.33605,171.42
