2Theta_deg,Intensity_cps
5.0,171.06
5.01071,0.0
5.02143,171.32
5.03214,0.0
5.04286,171.65
5.05357,0.0
5.06429,171.55
5.075,0.0
5.08571,171.46
5.09643,0.0
5.10714,171.52
5.11786,0.0
5.12857,171.55
5.13929,0.0
5.15,171.46
5.16071,0.0
5.17143,171.42
5.18214,0.0
5.19286,171.34
5.20357,0.0
5.21429,171.34
5.225,0.0
5.23571,171.16
5.24643,0.0
5.25714,171.14
5.26786,0.0
5.27857,171.53
5.28929,0.0
5.3,171.61
5.31071,0.0
5.32143,171.57
5.33214,0.0
5.34286,171.44
5.35357,0.0
5.36429,171.14
5.375,0.0
5.38571,171.5
5.39643,0.0
5.40714,171.55
5.41786,0.0
5.42857,171.6
5.43929,0.0
5.45,171.52
5.46071,0.0
5.47143,171.44
5.48214,0.0
5.49286,171.38
5.50357,0.0
5.51429,171.53
5.525,0.0
5.53571,171.64
5.54643,0.0
5.55714,171.59
5.56786,0.0
5.57857,171.46
5.58929,0.0
5.6,171.53
5.61071,0.0
5.62143,171.52
5.63214,0.0
5.64286,171.36
5.65357,0.0
5.66429,171.36
5.675,0.0
5.68571,171.36
5.69643,0.0
5.70714,171.32
5.71786,0.0
5.72857,171.18
5.73929,0.0
5.75,171.36
5.76071,0.0
5.77143,171.38
5.78214,0.0
5.79286,171.63
5.80357,0.0
5.81429,171.5
5.825,0.0
5.83571,171.34
5.84643,0.0
5.85714,171.28
5.86786,0.0
5.87857,171.16
5.88929,0.0
5.9,171.3
5.91071,0.0
5.92143,171.38
5.93214,0.0
5.94286,171.24
5.95357,0.0
5.96429,171.38
5.975,0.0
5.98571,171.38
5.99643,0.0
6.00714,171.64
6.01786,0.0
6.02857,171.6
6.03929,0.0
6.05,171.57
6.06071,0.0
6.07143,171.59
6.08214,0.0
6.09286,171.54
6.10357,0.0
6.11429,171.57
6.125,0.0
6.13571,171.53
6.14643,0.0
6.15714,171.22
6.16786,0.0
6.17857,171.42
6.18929,0.0
6.2,171.3
6.21071,0.0
6.22143,171.53
6.23214,0.0
6.24286,171.46
6.25357,0.0
6.26429,171.53
6.275,0.0
6.28571,171.68
6.29643,0.0
6.30714,171.69
6.31786,0.0
6.32857,171.53
6.33929,0.0
6.35,171.5
6.36071,0.0
6.37143,171.55
6.38214,0.0
6.39286,171.6
6.40357,0.0
6.41429,171.48
6.425,0.0
6.43571,171.6
6.44643,0.0
6.45714,171.74
6.46786,0.0
6.47857,171.63
6.48929,0.0
6.5,171.67
6.51071,0.0
6.52143,171.6
6.53214,0.0
6.54286,171.16
6.55357,0.0
6.56429,171.58
6.575,0.0
6.58571,171.54
6.59643,0.0
6.60714,171.14
6.61786,0.0
6.62857,171.34
6.63929,0.0
6.65,171.48
6.66071,0.0
6.67143,171.36
6.68214,0.0
6.69286,171.61
6.70357,0.0
6.71429,171.69
6.725,0.0
6.73571,171.36
6.74643,0.0
6.75714,171.24
6.76786,0.0
6.77857,171.59
6.78929,0.0
6.8,171.6
6.81072,0.0
6.82143,171.55
6.83214,0.0
6.84286,171.2
6.85357,0.0
6.86429,171.44
6.875,0.0
6.88572,171.59
6.89643,0.0
6.90714,171.5
6.91786,0.0
6.92857,171.53
6.93929,0.0
6.95,171.46
6.96072,0.0
6.97143,171.52
6.98214,0.0
6.99286,171.44
7.00357,0.0
7.01429,171.32
7.025,0.0
7.03572,171.62
7.04643,0.0
7.05714,171.56
7.06786,0.0
7.07857,171.6
7.08929,0.0
7.1,171.54
7.11072,0.0
7.12143,171.52
7.13214,0.0
7.14286,171.57
7.15357,0.0
7.16429,171.46
7.175,0.0
7.18572,171.34
7.19643,0.0
7.20714,171.48
7.21786,0.0
7.22857,171.38
7.23929,0.0
7.25,171.44
7.26072,0.0
7.27143,171.57
7.28214,0.0
7.29286,171.54
7.30357,0.0
7.31429,171.52
7.325,0.0
7.33572,171.61
7.34643,0.0
7.35714,171.52
7.36786,0.0
7.37857,171.36
7.38929,0.0
7.4,171.36
7.41072,0.0
7.42143,171.56
7.43214,0.0
7.44286,171.36
7.45357,0.0
7.46429,171.48
7.475,0.0
7.48572,171.62
7.49643,0.0
7.50714,171.59
7.51786,0.0
7.52857,171.57
7.53929,0.0
7.55,171.36
7.56072,0.0
7.57143,171.18
7.58214,0.0
7.59286,171.26
7.60357,0.0
7.61429,171.68
7.625,0.0
7.63572,171.61
7.64643,0.0
7.65714,171.67
7.66786,0.0
7.67857,171.52
7.68929,0.0
7.7,171.5
7.71072,0.0
7.72143,171.6
7.73214,0.0
7.74286,171.57
7.75357,0.0
7.76429,171.52
7.775,0.0
7.78572,171.54
7.79643,0.0
7.80714,171.36
7.81786,0.0
7.82857,171.56
7.83929,0.0
7.85,171.64
7.86072,0.0
7.87143,171.61
7.88214,0.0
7.89286,171.46
7.90357,0.0
7.91429,171.48
7.925,0.0
7.93572,171.54
7.94643,0.0
7.95714,171.42
7.96786,0.0
7.97857,171.62
7.98929,0.0
8.0,171.55
8.01072,0.0
8.02143,171.62
8.03214,0.0
8.04286,171.52
8.05357,0.0
8.06429,171.48
8.075,0.0
8.08572,171.0
8.09643,0.0
8.10714,171.24
8.11786,0.0
8.12857,171.28
8.13929,0.0
8.15,171.56
8.16072,0.0
8.17143,171.4
8.18214,0.0
8.19286,171.36
8.20357,0.0
8.21429,171.44
8.225,0.0
8.23572,171.4
8.24643,0.0
8.25714,171.4
8.26786,0.0
8.27857,171.62
8.28929,0.0
8.3,171.66
8.31072,0.0
8.32143,171.7
8.33214,0.0
8.34286,171.66
8.35357,0.0
8.36429,171.54
8.375,0.0
8.38572,171.3
8.39643,0.0
8.40714,171.28
8.41786,0.0
8.42857,171.5
8.43929,0.0
8.45,171.36
8.46072,0.0
8.47143,171.59
8.48214,0.0
8.49286,171.28
8.50357,0.0
8.51429,171.14
8.525,0.0
8.53572,171.5
8.54643,0.0
8.55714,171.3
8.56786,0.0
8.57857,171.5
8.58929,0.0
8.6,171.59
8.61072,0.0
8.62143,171.62
8.63214,0.0
8.64286,171.64
8.65357,0.0
8.66429,171.5
8.675,0.0
8.68572,171.32
8.69643,0.0
8.70714,171.44
8.71786,0.0
8.72857,171.5
8.73929,0.0
8.75,171.36
8.76072,0.0
8.77143,171.57
8.78214,0.0
8.79286,171.57
8.80357,0.0
8.81429,171.56
8.825,0.0
8.83572,171.44
8.84643,0.0
8.85714,171.38
8.86786,0.0
8.87857,171.42
8.88929,0.0
8.9,171.53
